make_model,power_kW,mileage,age,engine_size,type,price
Mercedes-Benz A 180,80.0,194367.0,8.0,1461.0,Used,10950.0
Mercedes-Benz A 180,80.0,184748.0,5.0,1461.0,Used,16750.0
Mercedes-Benz A 45 AMG,280.0,115949.0,6.0,1991.0,Used,30950.0
Mercedes-Benz A 180,80.0,236233.0,6.0,1461.0,Used,12950.0
Mercedes-Benz A 180,80.0,177477.0,6.0,1461.0,Used,12445.0
Mercedes-Benz A 35 AMG,225.0,59012.0,3.0,1991.0,Used,48950.0
Mercedes-Benz A 45 AMG,265.0,117613.0,9.0,1991.0,Used,28445.0
Mercedes-Benz A 200,100.0,4537.0,1.0,1337.0,Used,48136.0
Mercedes-Benz A 200,100.0,6642.0,1.0,2143.0,Used,51999.0
Mercedes-Benz A 180,90.0,188018.0,8.0,1595.0,Used,14945.0
Mercedes-Benz A 45 AMG,280.0,46300.0,6.0,1991.0,Used,39900.0
Mercedes-Benz A 45 AMG,280.0,136404.0,8.0,1991.0,Used,25950.0
Mercedes-Benz A 180,80.0,165282.0,10.0,1461.0,Used,16950.0
Mercedes-Benz A 35 AMG,225.0,500.0,0.0,1991.0,Used,66890.0
Mercedes-Benz A 45 AMG,280.0,52694.0,6.0,1991.0,Used,34900.0
Mercedes-Benz A 45 AMG,280.0,62182.0,4.0,1991.0,Used,44988.0
Mercedes-Benz A 200,120.0,139464.0,4.0,1332.0,Used,27425.0
Mercedes-Benz A 250,165.0,34408.0,3.0,1991.0,Used,44980.0
Mercedes-Benz A 220,140.0,47514.0,3.0,1991.0,Used,33945.0
Mercedes-Benz A 45 AMG,280.0,69463.0,8.0,1991.0,Used,29950.0
Mercedes-Benz A 180,80.0,141989.0,5.0,1461.0,Used,19950.0
Mercedes-Benz A 250,160.0,14250.0,1.0,1332.0,Used,44500.0
Mercedes-Benz A 200,100.0,59381.0,3.0,2143.0,Used,38999.0
Mercedes-Benz A 180,80.0,123000.0,10.0,1991.0,Used,13990.0
Mercedes-Benz A 180,85.0,51078.0,3.0,1461.0,Used,23990.0
Mercedes-Benz A 180,80.0,154000.0,8.0,1500.0,Used,16800.0
Mercedes-Benz A 200,110.0,139719.0,3.0,1950.0,Used,26900.0
Mercedes-Benz A 35 AMG,225.0,8400.0,1.0,1991.0,Used,59950.0
Mercedes-Benz A 180,85.0,51078.0,3.0,1461.0,Used,23990.0
Mercedes-Benz A 250,155.0,151300.0,9.0,1991.0,Used,19750.0
Mercedes-Benz A 220,132.0,36605.0,5.0,2143.0,Used,28980.0
Mercedes-Benz A 220,140.0,71927.0,2.0,1991.0,Used,37900.0
Mercedes-Benz A 200,100.0,80928.0,4.0,2143.0,Used,23780.0
Mercedes-Benz A 250,160.0,83624.0,1.0,1332.0,Used,31718.0
Mercedes-Benz A 180,80.0,61618.0,4.0,1461.0,Used,27800.0
Mercedes-Benz A 180,100.0,25681.0,2.0,1332.0,Used,26850.0
Mercedes-Benz A 180,85.0,99597.0,3.0,1461.0,Used,31450.0
Mercedes-Benz A 180,90.0,99939.0,6.0,1595.0,Used,17944.0
Mercedes-Benz A 200,100.0,189278.0,7.0,2143.0,Used,19950.0
Mercedes-Benz A 250,160.0,32800.0,2.0,1332.0,Used,38990.0
Mercedes-Benz A 180,85.0,29721.0,3.0,1461.0,Used,23536.0
Mercedes-Benz A 220,130.0,75000.0,6.0,2143.0,Used,20490.0
Mercedes-Benz A 200,121.0,67953.0,4.0,1332.0,Used,37950.0
Mercedes-Benz A 250,160.0,25900.0,1.0,1332.0,Used,36999.0
Mercedes-Benz A 200,120.0,74951.0,4.0,1333.0,Used,33950.0
Mercedes-Benz A 180,80.0,140230.0,9.0,1461.0,Used,12245.0
Mercedes-Benz A 200,115.0,63522.0,5.0,1595.0,Used,19995.0
Mercedes-Benz A 250,165.0,33576.0,3.0,1991.0,Used,37990.0
Mercedes-Benz A 180,80.0,61618.0,4.0,1461.0,Used,27800.0
Mercedes-Benz A 180,90.0,135462.0,7.0,1595.0,Used,16945.0
Mercedes-Benz A 250,155.0,114795.0,10.0,1991.0,Used,18950.0
Mercedes-Benz A 180,90.0,82571.0,4.0,1595.0,Used,26980.0
Mercedes-Benz A 180,90.0,96488.0,7.0,1595.0,Used,18945.0
Mercedes-Benz A 180,90.0,109275.0,4.0,1595.0,Used,22950.0
Mercedes-Benz CL,87.0,5000.0,0.0,1332.0,Used,40890.0
Mercedes-Benz CL,87.0,7000.0,0.0,1332.0,Used,39900.0
Mercedes-Benz CL,87.0,5000.0,0.0,1332.0,Used,38890.0
Mercedes-Benz A 200,120.0,41004.0,4.0,1332.0,Used,32990.0
Mercedes-Benz A 180,90.0,161839.0,9.0,1595.0,Used,12295.0
Mercedes-Benz A 180,85.0,96300.0,4.0,1461.0,Used,27400.0
Mercedes-Benz A 35 AMG,228.0,50426.0,3.0,1991.0,Used,52999.0
Mercedes-Benz A 200,121.0,63267.0,4.0,1332.0,Used,29950.0
Mercedes-Benz A 250,160.0,17500.0,1.0,1332.0,Used,36900.0
Mercedes-Benz A 250,155.0,81835.0,8.0,1991.0,Used,22950.0
Mercedes-Benz A 180,100.0,74458.0,4.0,1332.0,Used,34950.0
Mercedes-Benz A 180,100.0,14683.0,1.0,1332.0,Used,35950.0
Mercedes-Benz A 200,100.0,87119.0,5.0,2143.0,Used,19990.0
Mercedes-Benz A 180,90.0,108208.0,7.0,1595.0,Used,18750.0
Mercedes-Benz A 180,90.0,100532.0,9.0,1595.0,Used,15250.0
Mercedes-Benz A 180,85.0,86000.0,3.0,1461.0,Used,27250.0
Mercedes-Benz A 180,85.0,70840.0,4.0,1461.0,Used,28590.0
Mercedes-Benz A 180,85.0,25919.0,3.0,1500.0,Used,23190.0
Mercedes-Benz A 180,90.0,133773.0,9.0,1595.0,Used,13950.0
Mercedes-Benz A 200,121.0,64810.0,3.0,1332.0,Used,33500.0
Mercedes-Benz A 220,140.0,47500.0,3.0,1991.0,Used,31500.0
Mercedes-Benz A 180,79.0,198291.0,4.0,1461.0,Used,17995.0
Mercedes-Benz A 180,90.0,75594.0,6.0,1595.0,Used,17950.0
Mercedes-Benz A 180,85.0,29999.0,3.0,1461.0,Used,26890.0
Mercedes-Benz A 200,115.0,95698.0,9.0,1595.0,Used,20500.0
Mercedes-Benz A 180,80.0,96010.0,6.0,1461.0,Used,18999.0
Mercedes-Benz A 180,85.0,33349.0,1.0,1950.0,Used,28490.0
Mercedes-Benz CL,87.0,4955.0,1.0,1332.0,Used,39990.0
Mercedes-Benz A 180,90.0,132111.0,8.0,1595.0,Used,17950.0
Mercedes-Benz A 200,121.0,15406.0,3.0,1332.0,Used,38950.0
