make_model,power_kW,mileage,age,engine_size,type,price
Opel Corsa,66.0,2850.0,3.0,1398.0,Used,14880.0
Opel Astra,96.0,1000.0,0.0,1199.0,Demonstration,27450.0
Opel Insignia,90.0,12000.0,1.0,1496.0,Used,23990.0
Opel Insignia,191.0,65715.0,4.0,1998.0,Used,25800.0
Opel Astra,147.0,78150.0,4.0,1600.0,Used,19500.0
Opel Astra,132.0,15000.0,0.0,0.0,Demonstration,35890.0
Opel Astra,103.0,97031.0,4.0,1364.0,Used,10690.0
Opel Corsa,96.0,2.0,0.0,1199.0,Demonstration,28370.0
Opel Astra,110.0,83187.0,5.0,1399.0,Used,15990.0
Opel Adam,74.0,60750.0,3.0,1398.0,Used,11990.0
Opel Astra,81.0,106217.0,6.0,1598.0,Used,11450.0
Opel Insignia,191.0,35000.0,4.0,1998.0,Used,28850.0
Opel Insignia,147.0,7000.0,0.0,1998.0,Demonstration,41990.0
Opel Insignia,191.0,68857.0,4.0,1998.0,Used,28990.0
Opel Astra,81.0,122480.0,7.0,1199.0,Used,10350.0
Opel Astra,96.0,13600.0,1.0,1199.0,Demonstration,18989.0
Opel Astra,110.0,67955.0,5.0,1399.0,Used,14990.0
Opel Astra,110.0,16081.0,6.0,1399.0,Used,17690.0
Opel Insignia,169.0,20000.0,1.0,1998.0,Used,36389.0
Opel Insignia,100.0,10400.0,2.0,1598.0,Used,19990.0
Opel Insignia,128.0,6217.0,1.0,1995.0,Used,32990.0
Opel Astra,107.0,38741.0,2.0,1199.0,Used,17889.0
Opel Insignia,147.0,10437.0,1.0,1998.0,Used,36690.0
Opel Astra,110.0,8500.0,0.0,1598.0,Demonstration,39480.0
Opel Adam,74.0,27241.0,4.0,1398.0,Used,13789.0
Opel Insignia,154.0,62987.0,3.0,1956.0,Used,31990.0
Opel Astra,92.0,44000.0,4.0,1399.0,Used,16245.0
Opel Insignia,100.0,114834.0,2.0,1598.0,Used,18990.0
Opel Astra,107.0,5849.0,2.0,1199.0,Used,20350.0
Opel Astra,96.0,4150.0,0.0,1199.0,Demonstration,29940.0
Opel Grandland X,96.0,46300.0,1.0,1199.0,Used,24495.0
Opel Astra,132.0,1000.0,0.0,1598.0,Demonstration,36450.0
Opel Insignia,125.0,67000.0,5.0,1956.0,Used,19770.0
Opel Astra,147.0,35012.0,3.0,1598.0,Used,22790.0
Opel Corsa,55.0,114445.0,5.0,1248.0,Used,8190.0
Opel Adam,64.0,82125.0,6.0,1398.0,Used,9389.0
Opel Crossland X,81.0,1631.0,1.0,1199.0,Used,21379.0
Opel Adam,74.0,32600.0,3.0,1398.0,Used,12890.0
Opel Astra,96.0,5917.0,2.0,1199.0,Used,19900.0
Opel Astra,107.0,6198.0,2.0,1199.0,Used,20850.0
Opel Insignia,125.0,102928.0,7.0,1956.0,Used,15990.0
Opel Astra,107.0,13869.0,1.0,1199.0,Used,19990.0
Opel Astra,107.0,10059.0,1.0,1341.0,Used,23950.0
Opel Adam,51.0,74000.0,7.0,1229.0,Used,7900.0
Opel Astra,96.0,5000.0,1.0,1199.0,Used,20975.0
Opel Astra,110.0,48700.0,3.0,1399.0,Used,14989.0
Opel Astra,132.0,10000.0,0.0,1598.0,Demonstration,32790.0
Opel Astra,107.0,8081.0,2.0,1199.0,Used,18680.0
Opel Astra,110.0,17449.0,3.0,1399.0,Used,17750.0
Opel Corsa,74.0,16148.0,1.0,1199.0,Used,18750.0
Opel Astra,110.0,32373.0,4.0,1399.0,Used,17500.0
Opel Astra,96.0,6075.0,1.0,1199.0,Used,20994.0
Opel Insignia,169.0,50.0,0.0,1998.0,Demonstration,52790.0
Opel Astra,96.0,16750.0,2.0,1199.0,Used,19390.0
Opel Astra,88.0,73500.0,7.0,1364.0,Used,10490.0
Opel Insignia,125.0,58210.0,3.0,1956.0,Used,24990.0
Opel Astra,110.0,1500.0,0.0,1598.0,Demonstration,39480.0
Opel Corsa,75.0,54891.0,2.0,1499.0,Used,14990.0
Opel Adam,51.0,34621.0,9.0,1229.0,Used,7989.0
Opel Insignia,121.0,47000.0,4.0,1490.0,Used,23890.0
Opel Insignia,169.0,20000.0,1.0,1998.0,Used,36389.0
Opel Astra,107.0,23500.0,1.0,1341.0,Used,15990.0
Opel Astra,100.0,43990.0,3.0,1598.0,Used,15980.0
Opel Astra,96.0,100.0,0.0,1199.0,Demonstration,28500.0
Opel Astra,110.0,38455.0,3.0,1399.0,Used,17880.0
Opel Astra,81.0,65271.0,3.0,1598.0,Used,14890.0
Opel Astra,81.0,44965.0,1.0,1199.0,Used,15590.0
Opel Astra,107.0,1400.0,1.0,1342.0,Used,26290.0
Opel Astra,96.0,5250.0,1.0,1199.0,Employee's car,18650.0
Opel Corsa,74.0,6500.0,0.0,1199.0,Demonstration,24380.0
Opel Astra,110.0,14100.0,3.0,1399.0,Used,17490.0
Opel Crossland X,81.0,5766.0,2.0,1199.0,Used,20980.0
Opel Astra,96.0,36000.0,1.0,1199.0,Used,19790.0
Opel Insignia,128.0,1000.0,1.0,1995.0,Used,31980.0
Opel Corsa,74.0,58644.0,1.0,1199.0,Used,14990.0
Opel Astra,88.0,108165.0,8.0,1364.0,Used,13170.0
Opel Astra,110.0,27396.0,3.0,1399.0,Used,17750.0
Opel Astra,133.0,13290.0,0.0,1598.0,Demonstration,41940.0
Opel Astra,107.0,15320.0,2.0,1199.0,Used,22180.0
Opel Insignia,125.0,67098.0,4.0,1956.0,Used,21400.0
Opel Corsa,74.0,14000.0,1.0,1199.0,Employee's car,18490.0
Opel Insignia,121.0,65900.0,4.0,1490.0,Used,22900.0
Opel Astra,81.0,40600.0,3.0,1598.0,Used,15990.0
Opel Insignia,169.0,7913.0,1.0,1998.0,Used,41290.0
Opel Insignia,100.0,126357.0,5.0,1598.0,Used,14100.0
Opel Insignia,125.0,40355.0,4.0,1956.0,Used,24990.0
Opel Corsa,66.0,27282.0,4.0,1398.0,Used,10940.0
Opel Astra,107.0,13801.0,2.0,1341.0,Used,23365.0
Opel Insignia,118.0,151000.0,11.0,1956.0,Used,9700.0
Opel Crossland X,81.0,11500.0,3.0,1199.0,Used,17500.0
Opel Astra,107.0,2500.0,1.0,1199.0,Used,21445.0
Opel Insignia,103.0,110752.0,8.0,1956.0,Used,10490.0
Opel Astra,96.0,24788.0,2.0,1199.0,Used,19790.0
Opel Corsa,74.0,14370.0,1.0,1199.0,Used,19850.0
Opel Astra,92.0,27700.0,4.0,1399.0,Used,16990.0
Opel Astra,107.0,5000.0,1.0,1199.0,Employee's car,20950.0
Opel Astra,92.0,46090.0,4.0,1399.0,Used,15990.0
Opel Astra,96.0,6000.0,1.0,1199.0,Employee's car,19389.0
Opel Astra,132.0,9000.0,0.0,1598.0,Demonstration,37950.0
Opel Adam,74.0,30000.0,3.0,1398.0,Used,13490.0
Opel Astra,96.0,100.0,0.0,1199.0,Demonstration,29375.0
Opel Astra,77.0,27596.0,3.0,999.0,Used,14990.0
Opel Astra,92.0,63000.0,4.0,1399.0,Used,15790.0
Opel Astra,107.0,48000.0,2.0,1342.0,Used,19400.0
Opel Insignia,169.0,19.0,0.0,1998.0,Used,52850.0
Opel Insignia,154.0,76695.0,3.0,1956.0,Used,31990.0
Opel Adam,64.0,64114.0,5.0,1398.0,Used,11190.0
Opel Astra,96.0,500.0,0.0,1199.0,Demonstration,36750.0
Opel Astra,132.0,10000.0,0.0,1598.0,Demonstration,34990.0
Opel Insignia,90.0,31153.0,1.0,1496.0,Used,22900.0
Opel Astra,107.0,9169.0,2.0,1199.0,Used,21890.0
Opel Astra,96.0,10640.0,1.0,1199.0,Used,19890.0
Opel Corsa,66.0,86274.0,5.0,1398.0,Used,9990.0
Opel Astra,92.0,17379.0,3.0,1399.0,Used,16590.0
Opel Astra,96.0,5000.0,0.0,1199.0,Demonstration,27990.0
Opel Astra,81.0,94200.0,5.0,1199.0,Used,11390.0
Opel Astra,96.0,10.0,1.0,1200.0,Demonstration,22950.0
Opel Astra,90.0,16325.0,2.0,1496.0,Used,23390.0
Opel Astra,96.0,23000.0,2.0,1199.0,Employee's car,20445.0
Opel Adam,64.0,60700.0,3.0,1398.0,Used,11379.0
Opel Insignia,169.0,9482.0,2.0,1998.0,Demonstration,38900.0
Opel Astra,96.0,20.0,1.0,1199.0,Pre-registered,23980.0
Opel Crossland X,81.0,27993.0,3.0,1199.0,Used,18450.0
Opel Astra,96.0,5000.0,0.0,1199.0,Demonstration,33900.0
Opel Astra,81.0,68920.0,4.0,1598.0,Used,14750.0
Opel Corsa,74.0,5518.0,1.0,1199.0,Used,16590.0
Opel Insignia,100.0,110020.0,4.0,1600.0,Used,15990.0
Opel Astra,96.0,5001.0,0.0,1199.0,Employee's car,29570.0
Opel Corsa,74.0,28908.0,1.0,1199.0,Used,17500.0
Opel Astra,66.0,36000.0,3.0,999.0,Used,12580.0
Opel Astra,110.0,64063.0,3.0,1399.0,Used,16690.0
Opel Astra,110.0,35861.0,3.0,1399.0,Used,18779.0
Opel Insignia,169.0,0.0,1.0,1998.0,Demonstration,48890.0
Opel Astra,85.0,75000.0,9.0,1598.0,Used,11900.0
Opel Insignia,100.0,147515.0,6.0,1598.0,Used,12200.0
Opel Astra,110.0,25150.0,3.0,1399.0,Used,19980.0
Opel Adam,74.0,25800.0,3.0,1398.0,Used,13289.0
Opel Astra,107.0,27789.0,2.0,1342.0,Used,20490.0
Opel Astra,133.0,11000.0,0.0,1598.0,Demonstration,34940.0
Opel Corsa,51.0,74000.0,6.0,1229.0,Used,9690.0
Opel Astra,96.0,20431.0,1.0,1199.0,Used,18965.0
Opel Adam,85.0,31405.0,3.0,999.0,Used,14990.0
Opel Astra,110.0,300.0,0.0,1598.0,Demonstration,39480.0
Opel Adam,64.0,59389.0,3.0,1398.0,Used,10880.0
Opel Insignia,155.0,55285.0,4.0,1956.0,Used,24490.0
Opel Astra,110.0,2500.0,0.0,1598.0,Demonstration,35995.0
Opel Astra,81.0,15.0,1.0,1199.0,Demonstration,22990.0
Opel Astra,77.0,69500.0,4.0,999.0,Used,14750.0
Opel Insignia,128.0,19628.0,1.0,1995.0,Used,35990.0
Opel Astra,92.0,30682.0,3.0,1399.0,Used,15965.0
Opel Astra,110.0,18500.0,3.0,1398.0,Used,16980.0
Opel Adam,64.0,16470.0,3.0,1398.0,Used,15470.0
Opel Corsa,74.0,40950.0,2.0,1199.0,Used,17490.0
Opel Astra,96.0,5000.0,0.0,1199.0,Demonstration,28990.0
Opel Astra,133.0,2120.0,0.0,1598.0,Employee's car,44085.0
Opel Astra,96.0,3990.0,0.0,1199.0,Demonstration,28990.0
Opel Astra,88.0,108165.0,8.0,1364.0,Used,10470.0
Opel Corsa,74.0,11713.0,1.0,1199.0,Used,16940.0
Opel Corsa,51.0,17650.0,3.0,1229.0,Used,10490.0
Opel Insignia,128.0,25873.0,1.0,1995.0,Used,29990.0
Opel Astra,96.0,20149.0,1.0,1199.0,Used,18965.0
Opel Astra,96.0,14391.0,2.0,1199.0,Used,20970.0
Opel Corsa,96.0,15.0,0.0,1198.0,Pre-registered,28090.0
Opel Astra,90.0,20579.0,2.0,1496.0,Used,20890.0
Opel Astra,81.0,21260.0,1.0,1199.0,Used,20841.0
Opel Astra,110.0,26826.0,4.0,1399.0,Used,16950.0
Opel Astra,81.0,4990.0,0.0,1199.0,Used,22989.0
Opel Astra,96.0,27090.0,1.0,1199.0,Used,18965.0
Opel Astra,107.0,4686.0,1.0,1341.0,Used,23788.0
Opel Adam,74.0,80900.0,9.0,1398.0,Used,9390.0
Opel Astra,96.0,4651.0,1.0,1199.0,Used,22450.0
Opel Astra,96.0,4134.0,2.0,1199.0,Used,18990.0
Opel Astra,96.0,1174.0,2.0,1199.0,Used,19999.0
Opel Corsa,74.0,20348.0,3.0,1199.0,Used,19660.0
Opel Corsa,51.0,59950.0,3.0,1229.0,Used,9790.0
Opel Insignia,169.0,11000.0,0.0,1998.0,Employee's car,46990.0
Opel Adam,85.0,49695.0,3.0,999.0,Used,15900.0
Opel Corsa,66.0,49980.0,5.0,1398.0,Used,11950.0
Opel Adam,85.0,42819.0,5.0,999.0,Used,14490.0
Opel Astra,132.0,12000.0,0.0,1598.0,Demonstration,35890.0
Opel Adam,74.0,33436.0,4.0,1398.0,Used,13640.0
Opel Corsa,74.0,11600.0,1.0,1199.0,Used,17890.0
Opel Astra,96.0,6150.0,2.0,1199.0,Used,18390.0
Opel Astra,81.0,11250.0,1.0,1199.0,Used,19090.0
Opel Astra,90.0,11912.0,2.0,1496.0,Used,24790.0
Opel Astra,110.0,5990.0,0.0,1598.0,Demonstration,39990.0
Opel Corsa,51.0,12190.0,3.0,1229.0,Used,11890.0
Opel Astra,110.0,36395.0,4.0,1399.0,Used,17990.0
Opel Corsa,66.0,29552.0,3.0,1398.0,Used,10790.0
Opel Astra,132.0,4900.0,0.0,1598.0,Demonstration,35979.0
Opel Corsa,66.0,45586.0,3.0,1398.0,Used,12470.0
Opel Corsa,55.0,20.0,0.0,1199.0,Used,17495.0
Opel Insignia,100.0,124212.0,3.0,1598.0,Used,14590.0
Opel Corsa,74.0,100.0,0.0,1199.0,Pre-registered,22990.0
Opel Corsa,74.0,6800.0,1.0,1199.0,Used,19900.0
Opel Insignia,125.0,11896.0,1.0,1998.0,Used,28990.0
Opel Corsa,75.0,11030.0,2.0,1499.0,Used,17490.0
Opel Corsa,74.0,6149.0,2.0,1199.0,Used,17680.0
Opel Corsa,100.0,12335.0,1.0,0.0,Used,32850.0
Opel Astra,77.0,30392.0,3.0,999.0,Used,15450.0
Opel Corsa,66.0,49300.0,4.0,1398.0,Used,11789.0
Opel Astra,107.0,6380.0,1.0,1341.0,Used,21990.0
Opel Astra,77.0,7200.0,3.0,999.0,Used,16490.0
Opel Corsa,51.0,28021.0,7.0,1229.0,Used,9990.0
Opel Corsa,110.0,42577.0,4.0,1364.0,Used,14900.0
Opel Adam,64.0,12250.0,3.0,1398.0,Used,13880.0
Opel Adam,85.0,20732.0,3.0,999.0,Used,15890.0
Opel Astra,132.0,4900.0,0.0,1598.0,Demonstration,36979.0
Opel Astra,96.0,3.0,0.0,1199.0,Used,36450.0
Opel Astra,103.0,41000.0,4.0,1400.0,Used,16850.0
Opel Corsa,74.0,12200.0,1.0,1199.0,Used,18290.0
Opel Astra,110.0,3000.0,0.0,1598.0,Used,35900.0
Opel Corsa,55.0,12803.0,2.0,1199.0,Used,16965.0
Opel Astra,103.0,55326.0,4.0,1364.0,Used,12990.0
Opel Corsa,74.0,7934.0,1.0,1199.0,Used,19940.0
Opel Adam,66.0,22920.0,3.0,999.0,Used,13979.0
Opel Corsa,74.0,1860.0,2.0,1199.0,Used,19998.0
Opel Corsa,63.0,22100.0,9.0,1229.0,Used,9588.0
Opel Corsa,51.0,74300.0,4.0,1229.0,Used,11490.0
Opel Corsa,55.0,13279.0,2.0,1199.0,Used,13990.0
Opel Astra,132.0,1.0,0.0,1598.0,Pre-registered,35150.0
Opel Corsa,74.0,16397.0,1.0,1199.0,Used,18680.0
Opel Adam,74.0,57385.0,7.0,1398.0,Used,10990.0
Opel Astra,81.0,7455.0,2.0,1199.0,Used,16990.0
Opel Corsa,74.0,18334.0,1.0,1199.0,Used,16490.0
Opel Corsa,74.0,20696.0,2.0,1199.0,Used,18690.0
Opel Corsa,74.0,7500.0,0.0,1199.0,Used,18990.0
Opel Insignia,128.0,7593.0,1.0,1995.0,Used,30890.0
Opel Adam,74.0,24823.0,3.0,1398.0,Used,13990.0
Opel Corsa,51.0,19066.0,3.0,1229.0,Used,12490.0
Opel Astra,81.0,9900.0,1.0,1199.0,Employee's car,18389.0
Opel Corsa,74.0,41350.0,1.0,1199.0,Used,16990.0
Opel Corsa,55.0,8500.0,2.0,1199.0,Used,14990.0
Opel Corsa,55.0,2893.0,1.0,1199.0,Used,14990.0
Opel Insignia,100.0,38000.0,3.0,1598.0,Used,21990.0
Opel Corsa,74.0,14990.0,2.0,1199.0,Used,16990.0
Opel Astra,110.0,12420.0,0.0,1598.0,Employee's car,38500.0
Opel Corsa,74.0,14095.0,1.0,1199.0,Used,15990.0
Opel Corsa,74.0,25093.0,1.0,1199.0,Used,16880.0
Opel Corsa,74.0,560.0,1.0,1199.0,Employee's car,22490.0
Opel Corsa,55.0,150.0,0.0,1199.0,Used,20640.0
Opel Corsa,74.0,2000.0,0.0,1199.0,Used,18580.0
Opel Corsa,74.0,7378.0,2.0,1199.0,Used,16780.0
Opel Astra,81.0,29800.0,2.0,1199.0,Used,17950.0
Opel Astra,96.0,5000.0,0.0,1199.0,Used,26900.0
Opel Adam,64.0,37013.0,6.0,1398.0,Used,11850.0
Opel Corsa,74.0,10901.0,1.0,1199.0,Used,17990.0
Opel Corsa,74.0,7449.0,0.0,1199.0,Employee's car,19900.0
Opel Corsa,74.0,11598.0,1.0,1199.0,Used,17990.0
Opel Corsa,74.0,15490.0,2.0,1199.0,Used,16990.0
Opel Astra,81.0,2524.0,2.0,1199.0,Used,17900.0
Opel Corsa,74.0,14250.0,2.0,1199.0,Used,17575.0
Opel Insignia,81.0,68000.0,4.0,1598.0,Used,19950.0
Opel Adam,51.0,58700.0,6.0,1229.0,Used,8889.0
Opel Astra,81.0,27400.0,2.0,1199.0,Used,17500.0
Opel Astra,110.0,3450.0,0.0,1598.0,Demonstration,35284.0
Opel Corsa,74.0,600.0,0.0,1199.0,Demonstration,17995.0
Opel Astra,110.0,1121.0,0.0,1598.0,Demonstration,39690.0
Opel Corsa,74.0,18114.0,2.0,1199.0,Used,16380.0
Opel Adam,51.0,28550.0,3.0,1229.0,Used,13490.0
Opel Corsa,51.0,23762.0,3.0,1229.0,Used,12444.0
Opel Corsa,66.0,52600.0,5.0,1398.0,Used,11500.0
Opel Astra,77.0,129637.0,5.0,1199.0,Used,12500.0
Opel Corsa,51.0,74000.0,6.0,1229.0,Used,9690.0
Opel Astra,96.0,1500.0,0.0,1499.0,Used,36950.0
Opel Corsa,55.0,12000.0,1.0,1199.0,Used,18190.0
Opel Corsa,55.0,30515.0,1.0,1199.0,Used,16780.0
Opel Corsa,66.0,44000.0,5.0,998.0,Used,12490.0
Opel Corsa,55.0,19056.0,2.0,1199.0,Used,14690.0
Opel Corsa,74.0,20951.0,1.0,1199.0,Used,16400.0
Opel Corsa,66.0,20000.0,6.0,1398.0,Used,10900.0
Opel Adam,74.0,9821.0,3.0,1398.0,Used,14479.0
Opel Corsa,51.0,42500.0,8.0,1229.0,Used,8380.0
Opel Astra,110.0,19000.0,3.0,1399.0,Used,16750.0
Opel Corsa,51.0,26659.0,3.0,1229.0,Used,12680.0
Opel Adam,74.0,24300.0,3.0,1398.0,Used,13490.0
Renault Megane,103.0,12585.0,1.0,1332.0,Used,25950.0
Renault Clio,66.0,68467.0,5.0,1461.0,Used,12850.0
Renault Clio,55.0,136272.0,5.0,1461.0,Used,11850.0
Renault Megane,221.0,1900.0,1.0,1798.0,Pre-registered,39900.0
Renault Clio,66.0,64700.0,4.0,1461.0,Used,12850.0
Renault Megane,81.0,111440.0,4.0,1500.0,Used,13500.0
Renault Clio,66.0,63000.0,8.0,898.0,Used,8400.0
Renault Megane,81.0,205000.0,7.0,1461.0,Used,7900.0
Renault Clio,66.0,68467.0,5.0,1461.0,Used,12850.0
Renault Megane,81.0,58110.0,8.0,1461.0,Used,8290.0
Renault Clio,55.0,36477.0,3.0,1461.0,Used,12850.0
Renault Megane,81.0,111440.0,4.0,1500.0,Used,13500.0
Renault Clio,147.0,65990.0,7.0,1618.0,Used,16490.0
Renault Megane,151.0,49132.0,6.0,1618.0,Used,18590.0
Renault Megane,81.0,111440.0,4.0,1500.0,Used,13500.0
Renault Clio,66.0,110243.0,6.0,1461.0,Used,10500.0
Renault Clio,56.0,98717.0,3.0,898.0,Used,9400.0
Renault Clio,66.0,130394.0,7.0,898.0,Used,9990.0
Renault Clio,74.0,8000.0,1.0,999.0,Demonstration,16590.0
Renault Clio,162.0,49065.0,4.0,1618.0,Used,23900.0
Renault ZOE,51.0,6320.0,1.0,1.0,Used,22890.0
Renault Clio,55.0,36477.0,3.0,1461.0,Used,12850.0
Renault Clio,55.0,30378.0,6.0,1461.0,Used,12000.0
Renault Clio,66.0,59720.0,4.0,898.0,Used,12100.0
Renault Megane,66.0,129807.0,5.0,1461.0,Used,12850.0
Renault Clio,67.0,7200.0,1.0,999.0,Pre-registered,16990.0
Renault ZOE,100.0,2477.0,0.0,1.0,Demonstration,38222.0
Renault Megane,74.0,47840.0,5.0,1197.0,Used,15450.0
Renault Clio,66.0,64700.0,4.0,1461.0,Used,12850.0
Renault Clio,67.0,2068.0,0.0,999.0,Used,17750.0
Renault ZOE,68.0,48809.0,4.0,1.0,Used,18490.0
Renault Clio,66.0,82400.0,5.0,898.0,Used,10300.0
Renault Clio,74.0,20000.0,1.0,999.0,Demonstration,15990.0
Renault ZOE,100.0,2001.0,0.0,1.0,Demonstration,34777.0
Renault Clio,87.0,76900.0,5.0,1197.0,Used,12999.0
Renault Clio,66.0,110243.0,6.0,1461.0,Used,10500.0
Renault Clio,66.0,14059.0,4.0,898.0,Used,11481.0
Renault Clio,66.0,67400.0,5.0,898.0,Used,11950.0
Renault Megane,85.0,137326.0,7.0,1197.0,Used,9490.0
Renault Clio,67.0,5.0,1.0,999.0,Pre-registered,19750.0
Renault Clio,66.0,68467.0,5.0,1461.0,Used,12850.0
Renault Captur,88.0,31649.0,6.0,1197.0,Used,16260.0
Renault Megane,118.0,110000.0,4.0,1598.0,Used,18990.0
Renault ZOE,68.0,14662.0,4.0,1.0,Used,15700.0
Renault Clio,67.0,2683.0,0.0,999.0,Demonstration,18490.0
Renault Megane,103.0,44504.0,3.0,1332.0,Used,18490.0
Renault Clio,67.0,5.0,1.0,999.0,Pre-registered,18580.0
Renault Clio,66.0,85500.0,8.0,898.0,Used,9949.0
Renault Clio,66.0,53480.0,3.0,898.0,Used,11900.0
Renault Megane,85.0,31300.0,2.0,1461.0,Used,17900.0
Renault Clio,67.0,2550.0,1.0,999.0,Demonstration,17290.0
Renault Clio,103.0,8752.0,0.0,1598.0,Used,24444.0
Renault Clio,67.0,2550.0,1.0,999.0,Demonstration,18590.0
Renault Twingo,60.0,1501.0,1.0,999.0,Demonstration,26777.0
Renault Clio,67.0,9332.0,1.0,999.0,Demonstration,16990.0
Renault Clio,66.0,30000.0,4.0,898.0,Used,12690.0
Renault Megane,117.0,17796.0,1.0,1598.0,Used,27990.0
Renault Clio,67.0,31040.0,1.0,999.0,Used,15050.0
Renault Clio,67.0,1471.0,0.0,999.0,Demonstration,18990.0
Renault Twingo,60.0,5900.0,1.0,999.0,Demonstration,26777.0
Renault Clio,74.0,23000.0,2.0,999.0,Used,17490.0
Renault Clio,96.0,11551.0,3.0,1332.0,Used,18990.0
Renault Megane,70.0,61558.0,3.0,1461.0,Used,15000.0
Renault Clio,67.0,50.0,1.0,999.0,Demonstration,16790.0
Renault Clio,66.0,51646.0,4.0,898.0,Used,12700.0
Renault Clio,96.0,7900.0,1.0,1332.0,Used,21990.0
Renault Clio,67.0,5.0,1.0,999.0,Pre-registered,18280.0
Renault Twingo,52.0,53335.0,7.0,999.0,Used,7750.0
Renault Clio,67.0,50.0,0.0,999.0,Demonstration,18490.0
Renault Twingo,51.0,47408.0,5.0,999.0,Used,8750.0
Renault Clio,67.0,10500.0,1.0,0.0,Used,19780.0
Renault Clio,67.0,5.0,1.0,999.0,Pre-registered,18380.0
Renault Clio,54.0,23983.0,8.0,1149.0,Used,9900.0
Renault ZOE,53.0,4000.0,2.0,1.0,Used,16990.0
Renault Megane,85.0,352.0,1.0,1461.0,Used,24500.0
Renault Clio,87.0,44800.0,5.0,1197.0,Used,14675.0
Renault Captur,66.0,33615.0,3.0,898.0,Used,14990.0
Renault Twingo,48.0,2854.0,1.0,999.0,Used,12990.0
Renault Clio,66.0,88000.0,4.0,898.0,Used,12490.0
Renault Twingo,54.0,19999.0,2.0,998.0,Used,13450.0
Renault Clio,67.0,50.0,0.0,999.0,Demonstration,19890.0
Renault Clio,87.0,47674.0,6.0,1197.0,Used,14900.0
Renault Twingo,48.0,2000.0,1.0,999.0,Employee's car,13700.0
Renault Clio,96.0,21600.0,1.0,1332.0,Used,20480.0
Renault Clio,66.0,48989.0,3.0,898.0,Used,11900.0
Renault Twingo,48.0,5000.0,1.0,999.0,Employee's car,13700.0
Renault Megane,221.0,1900.0,1.0,1798.0,Pre-registered,39900.0
Renault Clio,67.0,6500.0,1.0,999.0,Used,17780.0
Renault Clio,87.0,39800.0,6.0,1197.0,Used,14900.0
Renault Clio,96.0,14100.0,1.0,1332.0,Used,20650.0
Renault Twingo,60.0,10.0,0.0,999.0,Demonstration,22990.0
Renault Twingo,52.0,13320.0,4.0,999.0,Used,9790.0
Renault Clio,67.0,12000.0,1.0,999.0,Demonstration,18630.0
Renault Clio,67.0,5500.0,1.0,999.0,Used,17990.0
Renault Clio,67.0,7500.0,0.0,999.0,Demonstration,19220.0
Renault Twingo,52.0,62818.0,5.0,999.0,Used,10500.0
Renault Twingo,51.0,48153.0,3.0,999.0,Used,12990.0
Renault Twingo,54.0,10000.0,2.0,998.0,Used,12990.0
Renault Twingo,54.0,27000.0,2.0,998.0,Used,15990.0
Renault Clio,67.0,18000.0,1.0,999.0,Used,16990.0
Renault Clio,67.0,10500.0,1.0,999.0,Used,17480.0
Renault Clio,67.0,5000.0,0.0,1598.0,Demonstration,25390.0
Renault Clio,67.0,12500.0,1.0,999.0,Used,17350.0
Renault Clio,67.0,16500.0,1.0,999.0,Used,16990.0
Renault Twingo,48.0,15500.0,1.0,999.0,Demonstration,15760.0
Renault Twingo,48.0,11000.0,1.0,999.0,Demonstration,16120.0
Renault Twingo,60.0,5.0,0.0,999.0,Demonstration,22640.0
Renault Twingo,48.0,8000.0,1.0,999.0,Demonstration,15610.0
Renault Twingo,52.0,4845.0,1.0,999.0,Pre-registered,13100.0
Renault Twingo,48.0,9000.0,1.0,999.0,Demonstration,15760.0
Renault Twingo,60.0,20000.0,1.0,999.0,Used,18840.0
Renault Twingo,54.0,32106.0,2.0,998.0,Used,10990.0
Renault Clio,67.0,7500.0,1.0,999.0,Demonstration,20890.0
Renault Clio,54.0,85482.0,8.0,1149.0,Used,7600.0
Renault Clio,187.0,16074.0,18.0,2946.0,Used,63900.0
Renault ZOE,80.0,40412.0,7.0,1.0,Used,11950.0
Renault ZOE,100.0,11500.0,2.0,1.0,Used,25800.0
Renault Megane,152.0,140714.0,4.0,1618.0,Used,18945.0
Renault Clio,55.0,112131.0,7.0,1461.0,Used,7990.0
Renault Clio,67.0,136679.0,12.0,1998.0,Used,11750.0
Renault Clio,55.0,105000.0,4.0,1461.0,Used,9490.0
Renault Megane,121.0,50672.0,4.0,1330.0,Used,16944.0
Renault ZOE,80.0,71364.0,7.0,1.0,Used,10740.0
Renault Megane,82.0,122059.0,4.0,1461.0,Used,12950.0
Renault Megane,96.0,73740.0,2.0,1198.0,Used,22950.0
Renault Megane,66.0,83115.0,9.0,1461.0,Used,7990.0
Renault Clio,66.0,30823.0,4.0,898.0,Used,13750.0
Renault Megane,81.0,114327.0,4.0,1461.0,Used,12990.0
Renault ZOE,80.0,63904.0,8.0,1.0,Used,10850.0
Renault Clio,55.0,113752.0,7.0,1461.0,Used,8700.0
Renault ZOE,65.0,122011.0,7.0,1.0,Used,9945.0
Renault Clio,66.0,103732.0,5.0,1461.0,Used,9950.0
Renault Megane,165.0,94407.0,15.0,2000.0,Used,11990.0
Renault Clio,66.0,143755.0,7.0,1461.0,Used,7550.0
Renault Clio,55.0,69412.0,4.0,1461.0,Used,9885.0
Renault ZOE,80.0,125499.0,9.0,1.0,Used,10850.0
Renault Clio,87.0,125130.0,5.0,1197.0,Used,12940.0
Renault Megane,151.0,34333.0,5.0,1618.0,Used,22445.0
